pregunta,respuesta_1,respuesta_2,respuesta_3,respuesta_4,respuesta_correcta,aciertos,fallos,veces_preguntada,porcentaje_aciertos
Cuántas Copas del Mundo ha ganado Argentina hasta 2022?,2,3,4,1,2,2,3,5,40.0
Qué jugador argentino anotó un triplete en un Mundial Sub-20 en 2007?,Sergio Agüero,Gonzalo Higuaín,Ángel Di María,Ezequiel Lavezzi,1,1,5,6,16.666666666666664
En qué Mundial debutó la selección de Argentina?,1930,1958,1974,1982,1,0,3,3,0.0
Qué jugador argentino es conocido como 'El Diego'?,Lionel Messi,Diego Maradona,Gabriel Batistuta,Juan Román Riquelme,2,3,4,7,42.857142857142854
En qué ciudad se jugó la final del Mundial de 1978?,Buenos Aires,Rosario,Córdoba,Mendoza,1,1,2,3,33.33333333333333
En qué estadio se jugó la final del Mundial de 1978?,Monumental,La Bombonera,Mario Kempes,El Cilindro,1,3,2,5,60.0
En qué país se jugó el Mundial de 1978?,Argentina,Brasil,España,Italia,1,0,3,3,0.0
Quién es el jugador argentino con más partidos en la selección?,Javier Zanetti,Lionel Messi,Diego Maradona,Sergio Romero,2,2,6,8,25.0
Qué selección enfrentó Argentina en la final del Mundial 2022?,Francia,Brasil,Croacia,Inglaterra,1,3,4,7,42.857142857142854
Qué jugador argentino fue transferido al Barcelona en 2020?,Ángel Di María,Lautaro Martínez,Sergio Agüero,Lionel Messi,3,5,4,9,55.55555555555556
Quién anotó el gol conocido como 'La Mano de Dios'?,Lionel Messi,Diego Maradona,Carlos Tévez,Javier Zanetti,2,2,1,3,66.66666666666666
Qué club europeo fichó a Enzo Fernández en 2023?,Chelsea,Real Madrid,Benfica,PSG,1,2,1,3,66.66666666666666
Qué jugador argentino ganó el Balón de Oro en 2023?,Lionel Messi,Julian Álvarez,Emiliano Martínez,Enzo Fernández,1,1,9,10,10.0
Qué selección eliminó a Argentina en el Mundial de 2002?,Brasil,Suecia,Inglaterra,Alemania,2,1,5,6,16.666666666666664
Cuál es el máximo rival de Argentina en el fútbol?,Uruguay,Inglaterra,Brasil,Alemania,3,4,6,10,40.0
En qué equipo comenzó su carrera Lionel Messi?,Boca Juniors,Rosario Central,Newell's Old Boys,River Plate,3,1,3,4,25.0
Qué equipo argentino ganó la Copa Libertadores más veces?,River Plate,Boca Juniors,Independiente,San Lorenzo,3,4,0,4,100.0
Quién fue el máximo goleador argentino en la selección hasta 2023?,Lionel Messi,Gabriel Batistuta,Sergio Agüero,Diego Maradona,1,1,1,2,50.0
Qué arquero fue campeón con Argentina en la Copa América 1991?,Sergio Goycochea,Luis Islas,Ubaldo Fillol,Emiliano Martínez,2,4,0,4,100.0
Cuántos goles marcó Gabriel Batistuta en mundiales?,8,10,12,15,3,0,5,5,0.0
Qué estadio es apodado 'La Bombonera'?,Estadio Monumental,Estadio de Racing Club,Estadio de Boca Juniors,Estadio Mario Kempes,3,4,6,10,40.0
Qué número de camiseta usó Messi en su debut en la selección mayor?,18,10,19,20,3,4,7,11,36.36363636363637
En qué año ganó Argentina su primer mundial de fútbol?,1978,1986,2002,1974,1,1,5,6,16.666666666666664
Cuántos goles marcó Messi en el Mundial de 2022?,5,7,6,4,2,5,2,7,71.42857142857143
Qué jugador argentino anotó un hat-trick contra Bolivia en 2021?,Lionel Messi,Sergio Agüero,Lautaro Martínez,Julian Álvarez,1,4,5,9,44.44444444444444
Qué número de camiseta es icónico de Diego Maradona?,7,10,11,8,2,2,6,8,25.0
Qué selección ganó la final contra Argentina en el Mundial de 1990?,Alemania,Italia,Brasil,Francia,1,1,9,10,10.0
Qué arquero argentino es conocido como 'El Pato'?,Ubaldo Fillol,Sergio Romero,Emiliano Martínez,Agustín Orión,1,2,2,4,50.0
Cuál fue la primera selección en derrotar a Argentina en un Mundial?,Uruguay,Brasil,Inglaterra,Estados Unidos,4,3,6,9,33.33333333333333
Quién dirigió a Argentina en el Mundial de 2014?,César Luis Menotti,Alejandro Sabella,Lionel Scaloni,Carlos Bilardo,2,3,4,7,42.857142857142854
Qué equipo argentino tiene el estadio apodado 'El Cilindro'?,Boca Juniors,River Plate,Racing Club,Independiente,3,1,2,3,33.33333333333333
En qué club jugó Diego Maradona antes de ir a Europa?,Argentinos Juniors,Boca Juniors,Newell's Old Boys,River Plate,1,1,4,5,20.0
En qué año se jugó el Mundial en Brasil donde Argentina fue subcampeón?,2010,2014,2018,2006,2,3,2,5,60.0
Qué jugador argentino marcó un gol olímpico en un Mundial?,Ángel Di María,Juan Román Riquelme,Gabriel Batistuta,Diego Maradona,4,0,3,3,0.0
Qué club argentino es conocido como 'El Millonario'?,River Plate,Boca Juniors,Independiente,Racing Club,1,1,8,9,11.11111111111111
Qué jugador argentino ganó el Balón de Oro 2021?,Lionel Messi,Ángel Di María,Lautaro Martínez,Julian Álvarez,1,1,7,8,12.5
En qué año se fundó la AFA (Asociación del Fútbol Argentino)?,1912,1930,1893,1900,3,1,8,9,11.11111111111111
En qué año debutó Lionel Messi en la selección argentina?,2004,2005,2006,2003,2,1,6,7,14.285714285714285
Quién es el máximo goleador histórico de Boca Juniors?,Martín Palermo,Juan Román Riquelme,Carlos Tévez,Hugo Ibarra,1,4,1,5,80.0
Qué arquero argentino fue clave en la tanda de penales del Mundial 2022?,Emiliano Martínez,Sergio Romero,Juan Musso,Wilfredo Caballero,1,1,2,3,33.33333333333333
Qué técnico argentino ganó la Copa América 2021?,Lionel Scaloni,Alejandro Sabella,Marcelo Bielsa,José Pekerman,1,0,8,8,0.0
Cuál fue el resultado de la final de la Copa América 2021?,1-0,2-1,3-0,0-0,1,3,3,6,50.0
Qué jugador argentino fue Balón de Oro en 1986?,Carlos Tévez,Diego Maradona,Oscar Ruggeri,Jorge Valdano,2,5,4,9,55.55555555555556
Qué entrenador dirigió a Argentina en el Mundial de 1986?,César Luis Menotti,Carlos Bilardo,Marcelo Bielsa,José Pekerman,2,3,7,10,30.0
Qué equipo argentino ganó el primer título de la Copa Libertadores?,San Lorenzo,Boca Juniors,Independiente,Estudiantes,3,3,6,9,33.33333333333333
